Processors	Process	Node		Points	Threads	Construction	Distribution
1		0	ct1pt-tnode006	7	1	2.2104e-05	6.95298e-310
1		0	ct1pt-tnode006	63	1	0.000190728	6.95298e-310
1		0	ct1pt-tnode006	511	1	0.00341351	6.95298e-310
1		0	ct1pt-tnode006	4095	1	0.0495854	6.95298e-310
1		0	ct1pt-tnode006	32767	1	0.57606	6.95298e-310
1		0	ct1pt-tnode006	262143	1	6.98507	6.95298e-310
1		0	ct1pt-tnode006	2097151	1	74.2218	6.95298e-310
1		0	ct1pt-tnode006	16777215	1	795.778	6.95298e-310
1		0	ct1pt-tnode006	134217727	1	8068.32	6.95298e-310
1		0	ct1pt-tnode006	7	2	12.9175	6.95298e-310
1		0	ct1pt-tnode006	63	2	0.000184176	6.95298e-310
1		0	ct1pt-tnode006	511	2	0.00235687	6.95298e-310
1		0	ct1pt-tnode006	4095	2	0.0299311	6.95298e-310
1		0	ct1pt-tnode006	32767	2	0.333111	6.95298e-310
1		0	ct1pt-tnode006	262143	2	3.94071	6.95298e-310
1		0	ct1pt-tnode006	2097151	2	41.3624	6.95298e-310
1		0	ct1pt-tnode006	16777215	2	438.544	6.95298e-310
1		0	ct1pt-tnode006	134217727	2	4392.25	6.95298e-310
1		0	ct1pt-tnode006	7	4	12.672	6.95298e-310
1		0	ct1pt-tnode006	63	4	0.000165275	6.95298e-310
1		0	ct1pt-tnode006	511	4	0.00191637	6.95298e-310
1		0	ct1pt-tnode006	4095	4	1.03094	6.95298e-310
1		0	ct1pt-tnode006	32767	4	0.234401	6.95298e-310
1		0	ct1pt-tnode006	262143	4	2.62782	6.95298e-310
1		0	ct1pt-tnode006	2097151	4	26.939	6.95298e-310
1		0	ct1pt-tnode006	16777215	4	278.662	6.95298e-310
1		0	ct1pt-tnode006	134217727	4	2725.81	6.95298e-310
1		0	ct1pt-tnode006	7	8	12.5522	6.95298e-310
1		0	ct1pt-tnode006	63	8	0.000169877	6.95298e-310
1		0	ct1pt-tnode006	511	8	0.00182025	6.95298e-310
1		0	ct1pt-tnode006	4095	8	0.909624	6.95298e-310
1		0	ct1pt-tnode006	32767	8	0.188933	6.95298e-310
1		0	ct1pt-tnode006	262143	8	2.02415	6.95298e-310
1		0	ct1pt-tnode006	2097151	8	19.9946	6.95298e-310
1		0	ct1pt-tnode006	16777215	8	201.13	6.95298e-310
1		0	ct1pt-tnode006	134217727	8	1913.3	6.95298e-310
2		0	ct1pt-tnode006	7	1	1.0766e-05	0.00010429
2		1	ct1pt-tnode006	7	1	2.0575e-05	0.00135034
2		0	ct1pt-tnode006	63	1	6.2222e-05	8.8392e-05
2		1	ct1pt-tnode006	63	1	6.842e-05	9.3602e-05
2		0	ct1pt-tnode006	511	1	0.00131721	3.8015e-05
2		1	ct1pt-tnode006	511	1	0.000814627	0.000121659
2		0	ct1pt-tnode006	4095	1	0.00962099	0.000273971
2		1	ct1pt-tnode006	4095	1	0.0194819	0.000902165
2		0	ct1pt-tnode006	32767	1	0.158519	0.00215242
2		1	ct1pt-tnode006	32767	1	0.127659	0.00702171
2		0	ct1pt-tnode006	262143	1	3.16178	0.8955
2		1	ct1pt-tnode006	262143	1	2.93189	0.933024
2		0	ct1pt-tnode006	2097151	1	19.9628	0.125474
2		1	ct1pt-tnode006	2097151	1	27.2542	0.421525
2		0	ct1pt-tnode006	16777215	1	239.67	0.987605
2		1	ct1pt-tnode006	16777215	1	271.039	3.35074
2		0	ct1pt-tnode006	134217727	1	2299.59	7.88956
2		1	ct1pt-tnode006	134217727	1	3103.26	26.794
2		0	ct1pt-tnode006	7	2	6.42872	8.135e-06
2		1	ct1pt-tnode006	7	2	6.50305	0.00322942
2		1	ct1pt-tnode006	63	2	7.039e-05	0.77194
2		0	ct1pt-tnode006	63	2	7.007e-05	7.7086e-05
2		1	ct1pt-tnode006	511	2	0.000527614	0.782838
2		0	ct1pt-tnode006	511	2	0.000960522	3.2474e-05
2		0	ct1pt-tnode006	4095	2	0.00516923	0.0106509
2		1	ct1pt-tnode006	4095	2	0.222332	0.0112228
2		0	ct1pt-tnode006	32767	2	0.0801142	0.00192827
2		1	ct1pt-tnode006	32767	2	0.0646722	0.00645658
2		0	ct1pt-tnode006	262143	2	1.7908	0.912235
2		1	ct1pt-tnode006	262143	2	1.68062	0.948441
2		0	ct1pt-tnode006	2097151	2	10.01	0.115049
2		1	ct1pt-tnode006	2097151	2	13.663	0.405175
2		0	ct1pt-tnode006	16777215	2	120.062	0.920703
2		1	ct1pt-tnode006	16777215	2	135.755	3.24209
2		0	ct1pt-tnode006	134217727	2	1151.84	7.89762
2		1	ct1pt-tnode006	134217727	2	1553.83	26.8023
2		0	ct1pt-tnode006	7	4	6.2773	7.404e-06
2		1	ct1pt-tnode006	7	4	6.31277	0.00321803
2		1	ct1pt-tnode006	63	4	7.5191e-05	0.388118
2		0	ct1pt-tnode006	63	4	7.7347e-05	7.7361e-05
2		0	ct1pt-tnode006	511	4	0.000760655	3.1368e-05
2		1	ct1pt-tnode006	511	4	0.000375585	0.392228
2		0	ct1pt-tnode006	4095	4	0.451178	0.000226485
2		1	ct1pt-tnode006	4095	4	0.454715	0.000797431
2		0	ct1pt-tnode006	32767	4	0.0476412	0.00185314
2		1	ct1pt-tnode006	32767	4	0.0334919	0.00642299
2		0	ct1pt-tnode006	262143	4	1.20707	0.910902
2		1	ct1pt-tnode006	262143	4	1.08677	1.03933
2		0	ct1pt-tnode006	2097151	4	5.05162	0.114953
2		1	ct1pt-tnode006	2097151	4	6.88215	0.404841
2		0	ct1pt-tnode006	16777215	4	60.4028	0.918991
2		1	ct1pt-tnode006	16777215	4	68.5186	3.23849
2		0	ct1pt-tnode006	134217727	4	578.613	7.56247
2		1	ct1pt-tnode006	134217727	4	780.814	26.4643
2		0	ct1pt-tnode006	7	8	6.27745	8.804e-06
2		1	ct1pt-tnode006	7	8	6.21438	0.0258801
2		0	ct1pt-tnode006	63	8	0.0001168	7.6662e-05
2		1	ct1pt-tnode006	63	8	0.000133027	0.191314
2		0	ct1pt-tnode006	511	8	0.000812474	3.0911e-05
2		1	ct1pt-tnode006	511	8	0.000424123	0.199788
2		0	ct1pt-tnode006	4095	8	0.450869	0.000230352
2		1	ct1pt-tnode006	4095	8	0.298763	0.000805755
2		1	ct1pt-tnode006	32767	8	0.202501	0.00639638
2		0	ct1pt-tnode006	32767	8	0.264077	0.00183927
2		1	ct1pt-tnode006	262143	8	0.979108	0.928931
2		0	ct1pt-tnode006	262143	8	0.960612	0.892667
2		1	ct1pt-tnode006	2097151	8	4.77193	0.412932
2		0	ct1pt-tnode006	2097151	8	2.58135	0.122992
2		1	ct1pt-tnode006	16777215	8	43.8976	3.24544
2		0	ct1pt-tnode006	16777215	8	33.0414	0.927334
2		1	ct1pt-tnode006	134217727	8	459.733	26.619
2		0	ct1pt-tnode006	134217727	8	292.716	7.72594
4		1	ct1pt-tnode006	7	1	7.897e-06	0.00495659
4		2	ct1pt-tnode010	7	1	7.392e-06	0.00503758
4		0	ct1pt-tnode006	7	1	1.7267e-05	0.00399626
4		3	ct1pt-tnode010	7	1	8.143e-06	0.0069061
4		1	ct1pt-tnode006	63	1	2.8592e-05	0.00209659
4		0	ct1pt-tnode006	63	1	2.6221e-05	5.5365e-05
4		2	ct1pt-tnode010	63	1	2.9523e-05	0.00211591
4		3	ct1pt-tnode010	63	1	1.8291e-05	3.7304e-05
4		1	ct1pt-tnode006	511	1	0.00051017	0.00128091
4		0	ct1pt-tnode006	511	1	0.000371233	0.00120595
4		2	ct1pt-tnode010	511	1	0.000525559	0.00128978
4		3	ct1pt-tnode010	511	1	0.000514636	0.00129642
4		1	ct1pt-tnode006	4095	1	0.00827405	0.0145366
4		0	ct1pt-tnode006	4095	1	0.00649774	0.0139077
4		2	ct1pt-tnode010	4095	1	0.00789162	0.0152752
4		3	ct1pt-tnode010	4095	1	0.00823308	0.0153005
4		1	ct1pt-tnode006	32767	1	0.109938	0.139889
4		0	ct1pt-tnode006	32767	1	0.0867256	0.135054
4		2	ct1pt-tnode010	32767	1	0.0882688	0.139988
4		3	ct1pt-tnode010	32767	1	0.111225	0.14004
4		1	ct1pt-tnode006	262143	1	1.36779	0.467725
4		0	ct1pt-tnode006	262143	1	1.24028	0.430727
4		2	ct1pt-tnode010	262143	1	0.8985	0.0636068
4		3	ct1pt-tnode010	262143	1	0.920347	0.0635787
4		1	ct1pt-tnode006	2097151	1	13.4427	12.8771
4		0	ct1pt-tnode006	2097151	1	13.5591	12.5825
4		2	ct1pt-tnode010	2097151	1	15.4374	12.7848
4		3	ct1pt-tnode010	2097151	1	15.2702	12.7847
4		1	ct1pt-tnode006	16777215	1	166.463	121.334
4		0	ct1pt-tnode006	16777215	1	152.744	118.973
4		2	ct1pt-tnode010	16777215	1	169.451	121.132
4		3	ct1pt-tnode010	16777215	1	151.193	121.132
4		1	ct1pt-tnode006	134217727	1	1778.98	1079.23
4		0	ct1pt-tnode006	134217727	1	1603.13	1060.35
4		2	ct1pt-tnode010	134217727	1	1740.19	1079.67
4		3	ct1pt-tnode010	134217727	1	1545.93	1079.67
4		1	ct1pt-tnode006	7	2	3.23847	3.13438
4		0	ct1pt-tnode006	7	2	0.391682	3.13279
4		3	ct1pt-tnode010	7	2	3.23811	3.19777
4		2	ct1pt-tnode010	7	2	0.391279	3.19757
4		1	ct1pt-tnode006	63	2	5.5551e-05	5.0846e-05
4		0	ct1pt-tnode006	63	2	6.0436e-05	3.6874e-05
4		3	ct1pt-tnode010	63	2	3.7494e-05	5.8798e-05
4		2	ct1pt-tnode010	63	2	5.1521e-05	4.2862e-05
4		1	ct1pt-tnode006	511	2	0.000416012	0.395872
4		0	ct1pt-tnode006	511	2	0.000266372	0.0610219
4		2	ct1pt-tnode010	511	2	0.000400372	0.00130717
4		3	ct1pt-tnode010	511	2	0.000414681	0.39181
4		1	ct1pt-tnode006	4095	2	0.00523795	0.0144862
4		0	ct1pt-tnode006	4095	2	0.00347679	0.0138935
4		3	ct1pt-tnode010	4095	2	0.00523399	0.0152593
4		2	ct1pt-tnode010	4095	2	0.00516169	0.0975759
4		1	ct1pt-tnode006	32767	2	0.0651448	0.13933
4		0	ct1pt-tnode006	32767	2	0.043884	0.134769
4		3	ct1pt-tnode010	32767	2	0.121531	0.139328
4		2	ct1pt-tnode010	32767	2	0.044781	0.139269
4		1	ct1pt-tnode006	262143	2	0.783152	0.546965
4		0	ct1pt-tnode006	262143	2	0.72463	0.510728
4		3	ct1pt-tnode010	262143	2	0.462387	0.0816503
