Processors	Process	Node		Points	Threads	Construction	Everything
Processors	Process	Node		Points	Threads	Construction	Everything
2		0	ct1pg-gnode001	1	1	8.649e-06	7.9069e-05
2		0	ct1pg-gnode001	1	2	0.000122347	0.000125355
2		0	ct1pg-gnode001	1	3	0.000107981	0.000110428
2		0	ct1pg-gnode001	1	4	0.000105473	0.000107721
2		0	ct1pg-gnode001	1	5	0.000126132	0.0001315
2		0	ct1pg-gnode001	1	6	0.000124318	0.000130975
2		0	ct1pg-gnode001	1	7	0.000101233	0.000103548
2		0	ct1pg-gnode001	1	8	0.000105467	0.000107658
2		0	ct1pg-gnode001	1	9	0.000114561	0.00011656
2		0	ct1pg-gnode001	1	10	0.000123273	0.000125526
2		0	ct1pg-gnode001	1	11	0.000153318	0.000160887
2		0	ct1pg-gnode001	1	12	0.000127098	0.000129827
2		1	ct1pg-gnode001	1	1	7.59e-06	0.0003721732		1	ct1pg-gnode001	1	2	0.000119466	0.0001293862		1	ct1pg-gnode001	1	3	0.000137897	0.0001501462		1	ct1pg-gnode001	1	4	0.000119592	0.0001657852		1	ct1pg-gnode001	1	5	0.000118835	0.0001468972		1	ct1pg-gnode001	1	6	0.00013907	0.0001817722		1	ct1pg-gnode001	1	7	0.000103035	0.0001456642		1	ct1pg-gnode001	1	8	0.000136529	0.0001477912		1	ct1pg-gnode001	1	9	0.000129178	0.0001508172		1	ct1pg-gnode001	1	10	0.00012562	0.0001409052		1	ct1pg-gnode001	1	11	0.000204405	0.000239782		1	ct1pg-gnode001	1	12	0.000143074	0.00016249
